"@timestamp","@version","Android sum","_id","_index","_score","_type","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","cloud.account.id","cloud.availability_zone","cloud.image.id","cloud.instance.id","cloud.machine.type","cloud.provider","cloud.region","ecs.version","event.created","host.architecture","host.boot_id","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.version","iOS sum","journald.custom.selinux_context","journald.custom.stream_id",message,"process.capabilites","process.cmd","process.executable","process.name","process.pid","process.uid","syslog.facility","syslog.identifier","syslog.priority","systemd.cgroup","systemd.slice","systemd.transport","systemd.unit",tags
"Mar 14, 2024 @ 10:55:14.160",1,0,ECMsPI4B9tBpE2orQZJg,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:55:15.979","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by FPJgv8WsSpecZPkf7556CnzZ for auth 6UQySWF9BDN2Mvp6XYK6Zx4B",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 10:50:28.626",1,0,ayMnPI4B9tBpE2or7IZI,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:50:32.053","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by b6YPuDD7pWH5zpqbFXdh6agK for auth q1oQrc1rUHuymbrAgkbwnfbi",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 10:50:15.430",1,0,"_iMnPI4B9tBpE2orr4Xp","logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:50:16.601","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by b6YPuDD7pWH5zpqbFXdh6agK for auth a4AJY55rjM8hHcnzPxi54VsB",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 10:49:53.992",1,0,LiMnPI4B9tBpE2orWYWb,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:49:54.505","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by FPJgv8WsSpecZPkf7556CnzZ for auth mc7NZX48nBTfFgFVh7uB76rd",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 10:49:38.760",1,0,WiMnPI4B9tBpE2orHYQ1,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:49:39.045","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by b6YPuDD7pWH5zpqbFXdh6agK for auth dLH2nFHoouEumZ4uaZmXU3AM",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 10:48:57.623",1,0,hyMmPI4B9tBpE2orxYMs,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:49:14.985","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by FPJgv8WsSpecZPkf7556CnzZ for auth 6xhhnVh4yXjhPAtyEFMS9Ywy",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 10:43:22.946",1,0,QiMhPI4B9tBpE2ort3aF,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 10:43:44.221","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by FPJgv8WsSpecZPkf7556CnzZ for auth diKFprD3geQpFg2jT1won4oD",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 09:54:10.430",1,0,"eCL0O44B9tBpE2orh_9-","logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 09:54:22.476","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by dPBcFeZW3ERGepQfoCPiSFsV for auth LVUjg4eYGhTeT2EJ3ZU4XFKF",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 05:35:23.376",1,0,hCAHO44B9tBpE2orbY40,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 05:35:25.155","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by LUFdQPZidV4piSMyUA3h5xmY for auth yAena6mzsEzy8sv3YEEBffE2",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
"Mar 14, 2024 @ 05:34:28.788",1,0,OCAGO44B9tBpE2orn4ww,"logs_2024.03.14",,"_doc","4233914a-0a12-4abe-a22e-dd7c999f42d4","staging-sdo-mobile-a1.sdo.local","0af3a107-2065-4663-bedc-95cdfe9b6414","staging-sdo-mobile-a1.sdo.local",journalbeat,"7.8.0",901060547976,"us-west-1a","ami-0bdc0ff10fb093057","i-0ec819664eda606e7","t3a.small",aws,"us-west-1","1.5.0","Mar 14, 2024 @ 05:34:30.980","x86_64",ae246f60a60d48fda2947bf3a347ab67,false,"staging-sdo-mobile-a1.sdo.local",f7d547349e0941a785546a2ce33e866b,"[""10.0.10.10"",""fe80::4aa:3cff:fe41:d360""]","[""06:aa:3c:41:d3:60""]","staging-sdo-mobile-a1.sdo.local",Maipo,redhat,"3.10.0-862.11.6.el7.x86_64","Red Hat Enterprise Linux Server",rhel,"7.5 (Maipo)",0,"system_u:system_r:init_t:s0",7d28f9901f944ce18b8eb1a1611891a6,"D <auth> Reporting status approved by LUFdQPZidV4piSMyUA3h5xmY for auth 3NwG1rfER4RNqdd8kWJNyPQ6",1fffffffff,"npm start              ","/usr/bin/node","npm start","21,009",0,3,"sdo-cloud-server",6,"/system.slice/sdo-mobile.service","system.slice",stdout,"sdo-mobile.service","[""beats_input_codec_plain_applied"",""_grokparsefailure""]"
